question	answer
Are Silkroad e-Mart products suitable for children?	Product suitability for children depends on the specific item. Check individual product descriptions for details.
How do I make a complaint about a product?	You can file a complaint through customer support.
Are Silkroad e-Mart products vegan?	Some products are vegan. Check product details or inquire directly with customer support.
Do we use “cookies”?	Yes, we use cookies to enhance site functionality and experience.
Do we disclose the information we collect to outside parties?	We don’t share personal data, except with trusted partners.
What is the default dispatch time for regular orders?	Regular orders are dispatched within 24 to 72 hours.
What shipping options are available for regular orders?	Economy (Rs. 95 minimum) and Priority (Rs. 390 minimum).
What is the shipping cost for priority shipping?	Priority shipping starts at Rs. 390 and increases by weight.
Do Cash on Delivery orders take longer to process?	Yes, Cash on Delivery orders may take longer to process, especially in remote locations.
Are tracking numbers provided for orders?	Yes, tracking numbers are sent via email after dispatch.
What is the packaging cost for cardboard or foam?	Packaging with cardboard or foam costs Rs. 100.
What are preorders?	Preorders are for items not in stock and are usually imported upon order placement.
What is the default dispatch time for preorders?	Preorders are dispatched within 30 to 60 days.
Can I cancel a preorder?	Preorders can be canceled within 24 hours of placement.
How are weekend orders processed?	Orders placed on weekends or public holidays are processed on the next business day.
When will I get my refund after returning a product?	"Refunds are initiated after the package is received and inspected. Timelines:
NEFT: 1-3 business days post-initiation.
Online Refund: 2-5 business days depending on the bank.
Wallets: Instant."
Is there any limit for Cash on Delivery orders?	Yes, COD orders are accepted for amounts up to ?8,000 only.
What is the origin country of Silkroad e-Mart products?	Most products are imported from China, the USA, and other international countries.
Can I return regular orders for any reason?	Yes, regular orders can be returned for any reason, no questions asked.
Are preordered and wholesale products returnable?	Yes, they are returnable if they are damaged, defective, missing parts, or different from the product description.
Will shipping charges be refunded?	Shipping and other charges are non-refundable unless the item was not received or is defective/damaged.
Can I get a partial refund for a defective item?	Yes, you can request a partial refund if you choose to keep a defective item.
Is there a reimbursement for return shipping?	Yes, return shipping is reimbursed up to Rs. 60.
Can I request a replacement instead of a refund?	Replacement is possible only if the exact same item is in stock.
What if a non-returnable product arrives damaged or defective?	Contact us within 15 days from delivery if you received a non-returnable product in a damaged or defective condition.
How do I cancel the order, I have placed?	Order can be cancelled before it is shipped. You would see an option to cancel within ‘My Orders’ section under the main menu of your Website/M-site then select the item or order you want to cancel. In case you are unable to cancel the order from ‘My Orders’ section, you can send us an email to customercare@silkroademart.com and refund will be processed into the source account, if order amount was paid online.
Can Silkroad e-Mart cancel the order, I have placed?	Yes, Silkroad e-Mart reserves the right to cancel the order at anytime without any explanation for a full refund.
How do I create a Return Request?	You send us Whatsapp message or email with order number and reason for return.
I have created a Return request. What is the next step?	Once you create a return you need to ship the item to our warehouse. In case you have chosen Shipping with return facility, you will be sent an email with shipping label. You need to print and paste it on the parcel and hand over the parcel to courier boy.
I have created a Return request. When will I get the refund?	"Refund will be initiated upon successful receipt of the package as per Returns Policy. The refund amount is expected to reflect in the customer account within the following timelines: Please note that shipping costs may be deducted when of Buyer chooses to return the product with no fault or damage in the product and just doesn’t need the product anymore or the product is incompatible. NEFT – 1 to 3 business days post refund initiation
Online Refund – 2 to 5 days post refund initiation, depending on your bank partner
Wallets – Instant"
Where should I self-ship the Returns?	"You can send the return to the following returns processing facilities.
Silkroad e-Mart, Kadavil House, Karimpadam, North Parur, Chendamangalam PO, Ernakulam, Kerala 683512. Mob:9960428616"
If there are any delay or defetcts in service how is it going to be resolved?	For all order defects we will refund the amount which was specificcaly charged for that service e.g if order is delayed after the buyer pays priority shipping fee, we will refund the priority shipping fee and in this way it shall be considered settled.
Whom should I contact in case of any delays in delivery?	Once the order is dispatched, it is courier company’s responsibility to deliver it in time. Silkroad e-Mart cannot be held responsible in case of delays that are beyond its control. You need to contact the courier company for updates. Only in case the item is not delivered we will step in and refund the amount.
How are orders placed on Silkroad e-Mart delivered to me?	All orders placed on Silkroad e-Mart are dispatched through our courier service partners such as Blue Dart, Delhivery, Indiapost Etc.
What is No Questions Asked Returns?	Once you create a return via Mobile / Desktop as per the returns policy, Silkroad e-Mart will ensure a quick, easy and seamless returns experience for you. In case of a change of mind you may send the product back in original condition, your refund will be initiated immediately after receipt.
Does Silkroad e-Mart pick up the product I want to return from my location?	Yes, only if the Return shipping method is selected. 
How can I Self-Ship the product to Silkroad e-Mart?	"For all self-shipped returns, you will be duly reimbursed the shipping costs. Therefore, please ensure that scan copy of courier bill/receipt is shared via Contact us option available on App/Website/M-site. The courier bill/receipt should satisfy the following conditions for successful processing:
It should capture the weight of the return package.
Residential/office address, destination address, shipment date, amount and other details should be mentioned.
The information on the receipt should NOT be edited/over-written.
The courier charge (amount mentioned on the receipt) should not overshoot the Sender-Destination-Service combination and shall be cross checked with the courier company. This is subject to your returns being inspected and successfully processed upon receipt at our end. we will reimburse maximum Rs. 60 for return shipments.
Please send returns by Speed post or registered parcel as it is cheap and efficient."
Is there any Warranty on products?	Unless mentioned specifically the products do not contain any warranty. However we are committed to resolve all issues pertaining to the durability and functioning of the product for its intended purpose.
Is there any limit for Cash on Delivery orders?	Yes. Cash on deliver orders are accepted for upto Rs. 8000 only.
Can I place preorders or wholesale products at Silkroad e-Mart?	Yes. You can buy international products with preorders at our website and orders will be delivered to your address by our shipping partners. You may place place wholesale orders directly as well.
What is Pre-order?	“Preorder” refers to a purchasing option provided by online retailers that allows customers to place orders for products that are not yet available for immediate shipping or release. Preordering allows customers to secure their purchase in advance, often before the product is officially released or restocked.
Can I cancel a preorder placed at silkroademart.com?	Preorders can be cancelled only within 24 Hrs of booking. 
Can Silkroad e-Mart cancel the pre-order, I have placed?	Yes, Silkroad e-Mart reserves the right to cancel the pre-order at anytime without any explanation for a full refund.
How to make payments for preorders?	You can place order using debit cards/credit cards/internet banking/UPI payments like you do with any other transaction.
What if I didn’t receive my product?	You will receive 100% refund for orders that are not delivered within the stipulated time mentioned in the listing.
What is delivery cut off period mentioned in the listings?	It is the cut off period for delivery. If the shipment doesn’t get delivered in that period order shall be cancelled and full refund shall be given. However in case of remote shipping locations there will be an exception for the number of days.
What is the return policy for preorder?	Preorders and wholesale products can be returned only if found defective or not as described in listing. See returns policy for more details.
What if the item get damaged or item is defective or not as described?	You will receive refund for all genuine order defects. You only need to send us photographs or videos as proof for same.
If there are any delay or defetcts in service how is it going to be resolved?	For all order defects we will refund the amount which was specificcaly charged for that service e.g if order is delayed after the buyer pays priority shipping fee, we will refund the priority shipping fee and in this way it shall be considered settled.
Where should I self-ship the Returns?	"You can send the return to the following returns processing facilities.
Silkroad e-Mart, Kadavil House, Karimpadam, North Parur, Chendamangalam PO, Ernakulam, Kerala 683512. Mob:9960428616"
How long does it take for preorder delivery to take place?	Usually it takes between 30-45 days for delivery of an Preorder shipment. Wholesale orders are deliveded in 5-15 days
How do I receive my order ?	Generally it is delivered through your local post office or through courier services like Fedex, Bluedart, etc.
Do I need to have IEC code ?	No. IEC is not needed by  you as import clearance is done by us.
Are there any other Import related formalities ?	No. All documentation and formalities are done by us. We shall receive the product at our warehouse and then send it to your address.
Is there any import duty to be paid ?	No. Once the order is placed you don’t have to do anything.
What if Silkroad e-Mart doesn’t act fairly against an order placed ?	We try our best to fulfill our commitments. In case of dissatisfaction over an order you may raise a complaint at email complaints@silkroademart.com. If it doesn’t get resolved and if it classifies as Financial fraud you may enter a complaint at the Cyber crime portal under the head “Other financial frauds” Click here. You may also raise disputes at Stripe or Instamojo if you have made payment through those gateways. You may raise disputes with your Credit card issuer in case you used credit card for payment.
What is the origin country of the Preorder products?	All of our products are currently imported from China, USA and other international countries.
Are there any rows with missing values?	No. All rows have values.
Is there any Warranty on products?	Until mentioned specifically the products do not contain any warranty. However we are committed to resolve all issues pertaining to the durability and functioning of the product for its intended purpose. You may send email to customercare@silkroademart.com for performance related issues.
